Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Distance,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Class
138.085,50.5402,3.9738,0.0803,0.0406,-179.053,75.5048,31.2204,5.931,254.74400000000003,Z,Z,Y,XG4ORT772Z,04NEI,g
19.0848,13.7346,2.5849,0.6008,0.3966,17.2824,19.4696,-5.239,5.3161,213.71400000000003,R,T,Y,RRA70ZX50Z,NO6EA,h
29.0311,11.6158,2.3414,0.5194,0.3257,33.9504,14.3539,6.8154,15.802,227.164,S,R,W,G9H17G1FJH,UEM77,g
33.1065,11.8138,2.3191,0.4221,0.2182,48.3987,-19.1853,-6.1835,4.0681,137.834,T,Q,Y,RO043N95P5,SF30N,g
56.994,22.3083,2.7493,0.3544,0.2235,33.4186,48.9174,-20.1552,82.40799999999999,237.919,U,R,T,2MDRBNM3Y0,LJ2HT,h
195.5844,22.4222,2.9547,0.3073,0.1987,-247.1927,126.2955,-12.1278,4.8756,168.5293,V,Z,Y,U4S0QKTR3D,JI6VX,h
21.1285,10.8588,2.1461,0.5786,0.2893,6.0936,-17.8457,-7.355,52.67,205.329,R,U,U,HMZ18ELAKR,L3NL0,g
42.8647,23.4034,3.1768,0.1969999999999999,0.1082,-12.0406,-16.8023,17.2307,12.867,167.68599999999998,Y,W,X,IGNMHT46M4,VBAI7,g
39.4299,16.5665,3.0477,0.2751,0.1375,5.4314,18.0685,-10.9443,0.04,187.888,W,U,Z,G0XOO6RN1Q,7LC5I,g
39.3737,12.0817,2.7763,0.3213,0.1615,18.1724,13.6391,6.5266,3.7449,201.01,V,T,Y,XVWAW0IULX,9TWTV,g
13.1551,9.0786,2.4191,0.8495,0.581,-10.8994,-10.1658,10.5847,46.9567,97.3209,Q,W,U,UPP7RVU131,0HOY3,g
24.3798,9.6194,2.4125,0.5609,0.3346,-12.5854,13.0954,-5.9295,46.6564,78.3395,R,W,U,GP1SY7T08S,YZJ5R,g
26.9117,7.0355,2.3979,0.696,0.43,-14.6418,-11.7778,5.4555,18.547,195.489,Q,X,W,4M7CUHSYGC,QY0UT,g
42.068000000000005,9.8012,2.4579,0.4321,0.2178,44.8421,34.6795,-9.2528,0.3486,211.64,T,R,Z,DR76KVC03C,1JVQA,g
130.05100000000002,73.8756,3.0494,0.2526,0.1504,-85.1206,-113.387,53.2133,65.292,203.61900000000003,X,Z,T,YBEN8HK7FD,TQDHZ,h
48.9319,19.9172,3.1913,0.2259,0.1271,26.6507,49.5332,-10.1152,1.645,235.795,X,S,Z,HAU7CMNRAV,OU0ZP,g
24.7122,16.1387,2.5988,0.5088,0.3287,27.2902,21.3231,15.989,33.725,153.40200000000002,S,S,V,P0GKRZ0NG7,CJ2XR,g
39.6591,20.9084,3.0147,0.3122,0.1677,22.5436,40.8734,-12.915,3.7613,160.278,V,S,Y,JRT8IC6HKN,XLTYC,g
248.9492,148.5661,3.2827,0.1837,0.0896,-200.3862,-187.2004,-78.0725,36.9646,305.885,Y,Z,V,835603X6HO,8WMFS,h
51.9869,17.2705,2.5871,0.2691,0.1384,45.3067,43.9765,-10.4089,34.1301,105.962,W,R,V,WFA4VJRBNH,C8W47,g
46.2076,23.1547,3.5464,0.2265,0.1306,13.6893,28.5121,-10.8417,1.516,180.67,X,T,Z,C3ZDISXYTJ,I76D7,g
105.092,45.5063,4.1631,0.0823,0.0423,19.1594,80.9648,23.377,1.3330000000000002,293.505,Z,T,Z,1J6YYTRJVV,7IRH3,g
52.622,14.9202,2.7917,0.2956,0.1543,-99.0799,43.8029,11.0489,10.9695,263.512,W,Z,X,6J7WKY6B7B,YIXFX,g
49.7866,26.2582,2.7162,0.2897,0.1486,45.7612,58.3653,-23.4577,42.4042,245.1169,W,R,U,LWSUBD1F3I,G5MK0,h
71.5533,20.3187,2.7997,0.3283,0.1975,-24.688,56.0385,18.7347,5.421,317.828,V,X,Y,HZGFYPYZ79,0YN5K,g
37.1613,9.7527,2.4886,0.474,0.2451,43.2182,25.4576,-7.8328,16.697,168.02599999999998,S,R,W,8THJUYUBXD,RLPQC,g
223.847,122.43,3.6375,0.1106,0.0554,40.8795,152.52100000000002,-111.487,81.2919,357.02,Z,R,T,Z5EGSL0C70,GPUX1,h
23.8172,9.5728,2.3385,0.6147,0.3922,27.2107,-6.4633,-7.1513,10.449000000000002,116.737,R,S,X,AOBI9Y5OR1,RU4LB,g
45.4444,11.349,2.7332,0.3937,0.2486,9.2073,34.8387,8.2332,5.059,205.448,U,U,Y,AOB2OHS7YE,FXX42,g
305.324,70.8569,3.8487,0.0871,0.0461,-334.514,-281.435,31.6361,44.111,189.21400000000003,Z,Z,U,I1U0EGVHEF,6YABU,h
27.7861,17.1611,2.6425,0.3645,0.1993,24.8534,12.7493,-12.7456,21.61,76.0045,U,S,W,RPPQHLTU1Q,A4E32,g
37.892,27.8928,3.1173,0.261,0.1466,5.6429,41.099,-27.826,51.7504,186.859,W,U,U,OSA5QDRVY9,Q78VJ,h
42.9959,18.7045,3.3051,0.2452,0.1394,1.5345,19.9961,-10.9991,2.045,198.223,X,V,Z,62GLL4LEXO,BF0N0,g
43.3859,14.1675,2.8689,0.3083,0.1548,-11.0986,-18.2535,-9.2057,14.648,197.026,V,W,W,FTF1O52XLN,6U7EW,g
27.8745,14.7574,2.451,0.5770000000000001,0.3097,8.1793,26.1578,-14.3106,4.331,205.245,R,U,Y,JHFMLDC7F0,XKHM5,h
18.0774,7.3589,2.2393,0.8127,0.5043,-3.7839,6.9754,-3.9507,56.6874,162.468,Q,W,U,CH3JE1T4SL,E9SWI,g
133.155,29.9931,3.3998,0.237,0.1273,-24.3823,-87.6751,-17.5434,14.134,302.857,X,X,W,JYWXZ15PC8,KRJ36,h
45.5619,15.7514,2.6248,0.5528,0.3926,23.4931,50.1248,-9.5367,8.9835,204.068,R,S,X,HGFZYNHEXH,YPVPX,h
79.1009,13.3864,2.738,0.3108,0.1673,55.249,64.4991,-9.1456,3.0091,282.12,V,Q,Y,OT0HLG4I3H,QVMLT,g
32.0031,14.8942,2.6702,0.4423,0.2425,4.0303,23.1813,6.7478,8.6023,184.485,T,U,X,BFXJ98CYJG,NXXDQ,g
21.0971,8.621,2.3617,0.6391,0.4022,-2.8595,13.9122,10.4155,5.361000000000001,104.977,R,V,Y,78YRNRPAJK,261Q9,g
33.2739,12.5474,2.6314,0.4439,0.2442,-10.747,27.2159,-5.0397,11.2284,176.5,T,W,X,BTEKVXTI8R,SXTO9,g
28.0184,15.3868,2.7356,0.4191,0.2269999999999999,31.3011,24.32,5.9005,3.306,198.391,T,R,Y,BHDBHSD9AN,47SQ9,g
60.5159,13.579,3.0125,0.3476,0.2103,61.5637,60.1913,5.2105,2.8626,247.4307,V,Q,Y,8YXT1F3SMF,WBOSZ,h
63.8088,18.346,2.918,0.3092,0.1552,43.7516,65.9962,-8.3016,8.966000000000001,225.819,V,R,X,9PX3QPLYFU,NBOHY,g
44.1521,16.7655,2.7093,0.2773,0.1455,14.0396,20.7402,-14.6241,0.337,180.685,W,T,Z,2W8YBFUEWR,POJCB,g
51.4104,18.169,2.6212,0.2896,0.1451,64.1533,43.1716,-14.1131,12.7084,141.8997,W,Q,X,TQ9GG2JGUR,C0MV9,h
47.8229,10.0342,2.8678,0.3119,0.1593,14.8775,30.4699,0.6191,26.9319,241.712,V,T,V,1HJ6P02T10,WOX79,h
25.392,14.7142,2.5459,0.3898,0.2205,-17.0571,10.225,-4.8681,7.8399,166.543,U,X,X,AT2C80D0GO,RGNYG,g
33.6033,16.4011,2.688,0.3385,0.1877,-6.8331,24.9757,12.9576,0.972,248.741,V,W,Z,GJBG59KBT1,FBR6Y,g
85.0943,41.8733,3.3903,0.2678,0.1345,-84.3968,-109.8362,-21.9621,4.1744,395.0295,W,Z,Y,I680ZCKZ1A,475K3,h
75.792,50.073,3.5819,0.1016,0.067,-15.0232,-79.4235,-37.5449,0.6296,217.9754,Z,X,Z,W7U4OPKZLH,WDA41,h
22.0086,6.7467,2.3021,0.7182,0.3716,-25.3587,-7.7523,-6.6755,16.634,190.845,Q,X,W,IBU14MLQGK,I1ABV,h
68.4655,22.3665,2.9678,0.2434,0.1438,104.069,-55.3082,15.171,84.7105,211.578,X,Q,T,MHSWIXRKJS,97J8M,h
19.1293,9.7873,2.5052,0.5095,0.4111,14.103,16.4198,-6.3058,22.7049,182.0043,S,T,W,5CI5HD1YU0,E6VZP,h
31.3405,14.6515,2.4330000000000003,0.4649,0.2528,41.2203,-10.4721,-9.8194,3.951,196.813,T,R,Y,7MLM6Q3J6M,TSO0O,g
35.6049,14.776,2.9632,0.3554,0.2024,-4.1669,25.6703,7.4827,41.3813,232.3171,U,W,U,HZIC77YYDV,6MZ91,h
50.9772,10.3908,2.8814,0.3469,0.182,-21.6378,-23.5473,-6.7332,39.666,192.845,V,X,V,7HZGTOY4KI,U4JWV,h
21.4458,17.2918,2.6835,0.4663,0.287,17.2794,15.1165,14.8169,34.2026,232.04,T,T,V,QVDE5SME4Y,HODWO,g
33.4632,15.0472,2.5942,0.5037,0.2753,10.8904,21.8814,-15.1947,26.3512,223.9934,S,U,V,NXUBFXSRKO,YQ49G,h
39.0029,17.4096,2.7517,0.2781,0.1408,11.6114,-25.2946,11.6892,8.0864,198.178,W,U,X,N23D6SFV1I,JLHJR,g
12.7943,11.4884,2.1123,0.7104,0.4131,-15.2398,9.0086,-5.7111,60.835,70.4403,Q,X,U,2G810LO9EI,XVZL8,g
255.749,83.1878,4.0608,0.0668,0.038,-224.095,-157.16299999999998,-62.1765,76.7151,276.245,Z,Z,T,41YA13MJSD,BBD0C,h
95.0744,23.0603,3.1793,0.2627,0.136,-41.3661,79.2067,5.4325,26.4577,325.797,W,Y,V,UP6W4ZHOAW,CPJ1D,h
36.144,10.6632,2.8169,0.4192,0.2142,24.5525,28.8838,5.4101,68.5811,146.918,T,S,T,T281CKDW6J,5WR54,h
162.722,65.6073,3.3965,0.1902,0.1073,-278.469,129.747,-40.4968,35.443000000000005,261.758,Y,Z,V,MPOTOR0995,LOTX1,h
20.0987,7.261,2.1287,0.7509,0.3903,-3.3363,10.7235,-5.3261,34.9882,242.24400000000003,Q,W,V,R3XPU259WC,2US4B,g
34.4045,8.3875,2.7819,0.4116,0.2221,13.9775,50.6389,-7.9092,7.1369,271.5166,T,T,X,NHQMRUTVRJ,S1M7J,h
200.0049,75.4877,3.1557,0.3506,0.2033,-95.6425,-170.8186,56.5595,56.0462,299.5727,V,Z,U,8AWSHJ8E35,ACP9O,h
81.2835,30.3354,3.5357,0.1599,0.0931,16.8591,73.5514,-18.3815,2.695,254.938,Z,T,Z,62F3AG4A2Q,HJKPC,g
23.3736,10.7934,2.4526,0.4832,0.2663,8.9849,18.9219,3.391,6.5289,214.57,S,U,Y,110OPI2EG4,9KCIS,g
49.3296,23.319000000000003,2.9009,0.1985,0.1137,12.0481,-32.4222,13.7545,14.048,69.9318,Y,U,W,2K9IMO2AEC,PXMSK,h
20.7037,6.6898,2.1717,0.7811,0.4815,19.4563,15.8595,-5.8671,10.772,97.6663,Q,T,X,N6PFE9YDBX,T2OK4,g
53.7339,15.4395,2.4298,0.4572,0.2955,-45.8108,-40.3603,-9.3853,1.886,32.6827,T,Y,Z,1MH8THFVAA,0QM6Z,g
44.8587,3.404,2.8941,0.3984,0.2489,-14.384,4.1975,-5.7029,79.8417,183.4018,U,W,T,8D3R6CBDGM,08910,h
20.8995,1.5787,2.5315,0.7428,0.4582,7.4701,-11.5139,3.1791,81.0387,187.3977,Q,U,T,KUZZB3M8ES,GO0Z0,h
57.0159,20.254,2.8407,0.2799,0.1407,45.2689,44.2935,-12.0902,3.3510000000000004,283.211,W,R,Y,EGOE7CKTT9,OIJ3N,g
98.5017,16.8173,2.8739,0.3275,0.2012,-60.2336,56.7213,8.1483,3.7729,270.468,V,Y,Y,00CTLRGXVZ,2BAIU,g
37.9953,17.6303,2.5916,0.356,0.2318,43.0104,27.3013,-14.3472,10.0049,223.025,U,R,X,DQZL38WTPY,OGDPH,g
28.8217,17.2907,2.8007,0.3623,0.1859,10.3339,24.6497,7.692,3.879,140.62,U,U,Y,HK93TK6848,NZJQ1,g
18.1879,10.4644,2.2672,0.5946,0.327,1.2658,-6.9371,6.2268,6.3162,105.825,R,V,Y,6QSKHRYXMW,X4IP5,g
39.6297,15.6113,2.7328,0.3977,0.2441,-3.1471,11.1436,12.572,10.2034,164.8455,U,W,X,QQTKO7OTGX,L254J,h
21.4416,14.6663,2.4631,0.5473,0.2978,29.8471,-14.675,-7.4522,9.9314,196.476,R,R,X,R22Y7RQMZV,39GA0,g
20.5056,12.823,2.3531,0.51,0.2683,9.9865,14.0662,8.7369,1.7009999999999998,205.635,S,U,Z,06Z7CHWUWN,ZBA43,g
66.2317,28.0831,3.4596,0.1374,0.0692,81.8702,48.5886,14.4011,8.1299,186.715,Z,Q,X,GU9F6N1JJ6,IGL0R,g
80.3573,46.7521,3.9682,0.1023,0.0395,26.4913,92.2686,42.4604,72.1289,122.6955,Z,S,T,4TTY6M2KCP,4U69J,h
43.3462,19.7439,2.8546,0.2362,0.1307,-83.7456,34.118,-11.9384,2.039,257.543,X,Z,Z,12ZKV0RT1A,S0WJG,g
24.9283,11.4785,2.3883,0.5235,0.3333,3.7608,17.8506,-11.14,12.744000000000002,168.965,S,V,X,EF1VHFT67D,AD1A3,g
40.9913,20.5501,3.1227,0.2902,0.1459,37.2103,29.5254,-11.3689,13.4983,156.834,W,R,W,7ZJJI0OJCS,SP85A,g
42.2578,14.7049,2.7517,0.3114,0.1335,-63.8685,-36.6204,14.5079,15.9862,163.5211,V,Y,W,9OO00A2TDN,NRTZB,h
61.1326,19.6959,3.2777,0.22,0.1153,24.4899,67.0374,10.0337,6.8870000000000005,233.925,X,S,X,PESHZ31MIU,V22VG,g
68.6774,26.6616,2.9576,0.3958,0.1989999999999999,-77.7625,-54.3004,-13.5594,0.9243,342.05300000000005,U,Z,Z,FAHNPNRA2U,QX523,h
66.1838,16.0713,2.549,0.4266,0.2387,-92.5322,41.734,12.0651,13.107,311.258,T,Z,W,4VSA964UIW,SY57I,g
94.9356,33.6608,3.746,0.1522,0.0791,-72.5239,68.8893,-16.8476,2.649,349.25199999999995,Z,Z,Z,F2K4L2SLLO,IBN7W,g
22.2656,12.6644,2.4273,0.4972,0.2785,-27.1258,-12.5339,9.363,28.109,179.733,S,X,V,VI4FALZ8IG,FQBDY,g
34.8695,9.2518,2.6056,0.4627,0.2445,-13.6702,-23.998,-6.4127,62.0339,148.7149,T,W,U,NVFHTG1YSY,TZNKT,h
145.285,49.5278,3.4132,0.1664,0.0898,-202.213,-69.0312,-23.4797,45.862,343.319,Y,Z,U,WZR6L5EJZB,0I9R6,h
29.2617,12.7089,2.5422,0.3644,0.1994,15.8677,11.6095,9.145,6.879,136.74200000000002,U,T,X,V79QLY1BJZ,4YKTI,g
30.7094,15.7963,2.7336,0.3379,0.1727,4.3435,16.9828,-14.1763,3.388,214.717,V,U,Y,B0Z4ZXFL3D,AZR4I,g
100.196,29.4089,3.2171,0.162,0.0846,-83.1847,70.4306,20.6047,0.7341,338.055,Z,Z,Z,GC3Q9G5NOX,B17WT,g
68.5503,63.3599,3.6238,0.2244,0.1289,11.5003,-103.7323,-37.1604,64.6514,298.7289,X,U,T,6VCNU4Y9V9,DGUSF,h
61.9695,11.6429,2.9122,0.2938,0.1659,45.5615,58.4236,-4.5027,5.947,284.09,W,R,Y,QKW26U4O61,K5C2W,g
71.6335,25.712,3.1938,0.185,0.1098,-47.4908,43.553,6.8825,2.98,238.991,Y,Y,Y,O1Z6RHJMBS,AWUV0,g
71.8916,32.0685,3.662,0.226,0.1299,-39.9444,57.9611,26.3802,4.088,299.69,X,Y,Y,UPVONLG5IP,0LJIL,g
66.6671,14.9063,3.0007,0.3295,0.1692,56.2458,70.2166,-8.2287,0.5477,252.716,V,Q,Z,1EICINR34U,IBUC1,g
58.7014,29.1229,3.5139,0.1703,0.0883,33.1923,53.0612,-21.9219,10.117,199.46,Y,R,X,EK5SF46GZ6,L251H,g
23.7546,10.8836,2.4166,0.6092,0.3046,33.1145,-18.2256,6.1398,49.59,37.9886,R,R,U,PGZYM7OQVX,1Y89I,h
34.7762,8.0369,2.532,0.4055,0.2867,-14.3596,-22.1504,2.3217,21.3621,188.6778,U,W,W,YBAPZ3M6HJ,3VY80,h
25.8127,10.4511,2.6149,0.4757,0.2852,-9.7627,-11.646,-5.8002,67.8393,220.149,S,W,T,4QJG8TP9R5,ZPFOC,h
65.0499,21.0138,3.0799,0.1997,0.1027,-66.2538,46.1153,14.9457,2.2,264.389,Y,Y,Z,3SIRFE71PN,KBK6Q,g
146.1118,44.1177,3.3302,0.1411,0.0923,-76.4743,92.5645,54.7525,43.407,246.6065,Z,Z,U,N8VS5MCRWO,5OKYN,h
30.494,11.1994,2.7517,0.4677,0.2347,-8.196,17.6262,11.4619,32.6759,100.301,T,W,V,YPQDV39F4R,T6IF9,h
17.2761,17.1898,2.5334,0.5124,0.2914,-0.0139999999999999,1.225,18.3999,25.764,144.187,S,V,V,NFZPMVYRBP,S7W8L,g
59.4784,13.5568,2.4141,0.3198,0.1638,67.7316,-35.1098,-5.2625,3.525,235.186,V,Q,Y,SVQ0JJXEKI,VD9RG,g
51.6081,19.4357,2.5465,0.375,0.2031,-74.2542,37.6783,14.5263,0.391,286.53,U,Z,Z,V1ZRS65IFK,0885Q,g
13.0804,10.9402,2.2,0.7634,0.4385,14.2853,-4.9732,11.0286,47.048,34.5555,Q,T,U,KYXY4YPY3Y,TLDAX,g
85.0908,21.8638,3.3523,0.1706,0.1024,-83.0028,59.2178,-9.9476,0.4645,277.97700000000003,Y,Z,Z,X1WO5YZP5U,O58ZI,g
80.9416,26.1937,3.5336,0.1706,0.0947,-84.8159,60.5693,22.9385,0.0974,275.661,Y,Z,Z,F22MOIPAHD,BOY1G,g
39.4806,18.9588,2.9687,0.2773,0.1392,-9.235,24.7853,10.3638,10.02,159.24200000000002,W,W,X,HDSKJW6RVA,IT2XK,g
55.3951,22.511,2.9652,0.4865,0.3039,-26.9274,-24.5285,-25.0755,22.574,314.095,S,X,W,52YRW7D5B0,VCDJM,h
19.7354,13.9151,2.4914,0.5258,0.3306,-1.6944,10.1606,8.0554,10.303,129.754,S,V,X,AFUIM2I99P,2FI1L,g
20.3254,12.8782,2.3811,0.474,0.2765,14.6766,12.5931,-6.7737,4.829,241.909,S,T,Y,9TC1RPR73M,7LVSZ,g
31.1538,11.723,2.5802,0.6971,0.487,29.5535,30.7898,-17.6349,8.9121,215.9572,Q,R,X,UY26BO4KPV,YZ0M9,h
20.8971,18.6641,2.3664,0.4774,0.286,-13.3256,-15.5955,12.7378,6.83,231.83,S,W,X,398DRY4184,DIT8G,g
79.1086,36.9134,3.6716,0.2539,0.13,-33.2916,-64.4418,-22.17,0.552,424.215,X,Y,Z,MRKMFLYT1O,2PHDO,g
117.783,21.0132,2.6781,0.3274,0.1668,-195.988,108.425,-12.4734,4.6097,292.307,V,Z,Y,5WYHW6T534,PE6FX,g
46.5362,20.5437,3.1905,0.2341,0.1216,47.1132,27.9165,12.189,0.129,256.88,X,Q,Z,A17G78VOWR,0QG7T,g
17.4338,14.7142,2.3684,0.5719,0.3005,-9.3392,-18.2262,9.4445,89.8463,180.5019,R,W,T,3AA4GB6SEU,85M6X,h
27.5004,21.8717,2.9055,0.2834,0.1535,-7.2898,-17.3721,-10.7677,14.5326,184.115,W,W,W,UHOUE7L534,ENOQF,g
34.6616,9.2726,2.4456,0.362,0.1846,-53.4062,11.7518,-3.975,19.5139,157.12,U,Y,W,J8ZH60BJ1V,1KENK,g
109.46,18.5694,2.6830000000000003,0.4461,0.2251,-68.1987,-107.324,10.6969,75.191,182.762,T,Y,T,7JVUH6B716,ZNUFK,h
20.2649,10.1755,2.2923,0.6224,0.375,-4.2702,15.5583,7.6127,19.359,124.867,R,W,W,J7RT8O4U4X,2BT28,g
31.3586,22.7492,2.9204,0.2691,0.1532,10.7536,23.4355,-10.455,37.543,138.861,W,U,V,EQ4RF91VQV,OBA6J,h
25.7808,18.8246,2.4601,0.3466,0.1889,-3.9316,-21.6238,13.2634,3.0162,203.166,V,W,Y,POUDLNKFQX,5J71U,g
96.3755,31.3902,3.359,0.2179,0.1376,-34.801,61.0636,20.5479,9.782,307.321,X,Y,X,3OA3IJBGS9,ET2JY,g
47.9828,22.6073,2.9939,0.2099,0.106,11.8885,40.388000000000005,-14.6321,7.3372,243.33,Y,U,X,QLYIZ2LP00,F5UDI,g
25.6468,22.5865,2.7493,0.285,0.1683,-12.632,-16.3279,11.9013,3.2549,146.34,W,W,Y,CAVTP8CSOZ,SJYZ0,g
30.1169,14.2967,2.6149,0.3932,0.1978,39.6456,15.399,10.0483,14.588,70.7928,U,R,W,U3QUPV1USZ,IXM6I,h
38.6943,23.8422,2.7029,0.3211,0.1834,14.4893,-9.3039,22.6965,15.761,199.443,V,T,W,F0QAPTF80J,M2XKN,g
41.4001,25.658,3.0414,0.2036,0.1023,39.265,30.5051,-23.3496,0.6344,91.228,Y,R,Z,AIKB6T4WGG,6MY9D,g
58.1232,23.5601,2.8837,0.1791,0.0922,-49.22,-33.4621,11.5684,20.194000000000003,94.0063,Y,Y,W,LSVIYZM0YE,JJ284,g
22.0457,17.5449,2.5514,0.3477,0.2139,1.4042,9.2822,10.1379,22.7692,204.2845,V,V,W,XUTG52L6P4,YUDLY,h
25.1784,22.1139,2.6721,0.3339999999999999,0.1819,2.4741,21.001,17.6159,85.181,279.873,V,V,T,QB3B0A6MQ7,M68NG,g
146.654,22.0517,3.0185,0.1687,0.0858,121.24,134.783,-15.8498,8.201,259.954,Y,Q,X,RJRF8XEVEA,B3Z6P,g
144.264,76.2978,2.9872,0.3491,0.2291,-78.9021,-128.88299999999998,-59.0729,12.0694,235.422,V,Z,X,OCPO1R4TC2,T8VA1,h
30.2724,17.0073,2.5982,0.3354,0.1803,-1.8758,-6.787000000000001,-12.6971,0.4079,156.863,V,V,Z,WXTWQ7M88Y,O5JLV,g
116.13,23.0922,2.7832,0.3822,0.1985,-89.8884,-65.3295,-13.3541,48.9032,288.755,U,Z,U,PM11POMS8J,0PO7N,h
26.3327,17.1639,2.4564,0.4091,0.2185,0.0572,20.5967,-9.3139,27.6552,223.995,T,V,V,6QT1O9Q9YA,8KGGM,g
28.5597,10.4399,2.5092,0.4768,0.2833,-20.5241,16.6542,10.9173,7.3378,190.024,S,X,X,R6JLTJAG54,14LW8,g
234.1154,68.7045,4.0678,0.0751,0.0433,-229.1012,-233.563,50.292,18.097,209.6573,Z,Z,W,4R4BEGOWX9,J9YTG,h
31.0486,16.6026,2.8267,0.3055,0.1587,-4.54,-17.047,9.7213,19.8899,213.686,V,W,W,2P8W8P1334,S1T86,g
26.1094,11.2175,2.3856,0.4609,0.2942,9.517,11.3732,2.7544,72.118,31.7084,T,U,T,SQU0GCA4HY,OZDRS,g
76.7226,11.2998,3.1154,0.2415,0.1453,47.9904,-26.6326,-9.1747,45.422,100.238,X,Q,U,U1UP3TZJV7,JMOQ9,h
65.1686,12.2282,2.6232,0.3381,0.1702,60.4863,70.5864,8.8835,5.9072,197.801,V,Q,Y,GDCZJNM2LD,ZI3SE,g
31.3178,13.5666,2.8197,0.384,0.2565,11.9026,25.766,-4.8832,77.6778,139.6644,U,U,T,EZFI1WQZ3Y,XLXF8,h
78.6562,39.4167,3.6073,0.1831,0.1209,-42.1342,49.7004,25.7261,46.6821,314.058,Y,Y,U,DN86GNVQ1T,G40HV,h
22.7955,10.6579,2.5031,0.5997,0.4003,11.3459,20.5625,8.9411,42.293,210.976,R,U,U,WMWK8PJ7KF,3P7LL,g
216.472,36.506,3.0806,0.3032,0.1689999999999999,-211.353,82.5201,34.2297,61.3424,240.906,W,Z,U,G6J3T3AYY6,N93FE,h
72.8104,14.3361,3.096,0.307,0.1607,-54.9261,58.5437,-5.9832,0.644,286.265,V,Y,Z,1HMAS3SCMZ,0SHEP,g
21.1245,15.4527,2.4183,0.4389,0.2462,-22.2253,-13.8785,5.3297,88.3116,215.187,T,X,T,SFN1MV41X2,0W1W2,h
166.4309,68.1438,4.5565,0.0859,0.013,-181.3648,95.2531,-37.0743,28.5987,227.3674,Z,Z,V,XK32GG5815,BJAFT,h
16.5794,10.1502,2.3312,0.4755,0.2639,24.6394,11.9279,9.1115,42.4078,263.5234,S,S,U,XEATU6M3XI,5W5CI,h
38.1364,18.336,3.0356,0.2616,0.1469,30.2336,20.9361,11.8556,10.124,192.834,W,R,X,3WD7CT2E8F,XPPRO,g
95.6747,39.4454,3.972,0.0997,0.0542,-3.1486,82.3899,-37.7369,3.175,282.92900000000003,Z,W,Y,XYOHC1Z3VW,M9O2P,g
105.112,26.6051,3.2982,0.1797,0.1069,-100.098,68.2692,9.0747,0.87,230.36,Y,Z,Z,11N8S5D9IH,HJPZX,g
52.8741,30.0875,3.5654,0.157,0.0819999999999999,28.5875,38.1459,-24.7417,2.7843,184.124,Z,S,Z,WV3PUAU22X,R27EX,g
88.0004,37.8465,3.4222,0.1963,0.1152,-7.5609,73.5133,26.4195,5.397,355.599,Y,W,Y,OLK58QRO8E,G5K2A,g
19.7452,12.6244,2.4191,0.5181,0.2724,-17.0574,-12.5602,6.6642,86.9934,68.2801,S,X,T,C47BPJRYCY,V1Y96,h
130.3612,90.0461,4.1052,0.0712,0.0309,35.6943,-131.0066,47.475,10.0559,151.5751,Z,R,X,92TGQN3FPK,9QCWM,h
80.0227,39.5044,4.0087,0.1186,0.0626,76.2288,74.77199999999999,-27.862,8.5037,207.781,Z,Q,X,H8VM0V8EHC,MVVUS,g
37.742,24.3346,3.0404,0.2478,0.1508,5.997999999999999,34.4104,13.7756,24.216,131.601,X,U,V,7DYYIJBL6Q,8VCXI,g
60.9546,27.9552,2.9269,0.3148,0.1675,79.4878,-32.642,-30.8033,50.487,32.9258,V,Q,U,K66G0KE8NB,JL9XR,h
56.8538,16.7862,2.9701,0.3236,0.175,68.7272,34.0334,10.8524,62.7139,246.5548,V,Q,U,QWH1BHRGTP,VYD7G,h
22.2197,9.2053,2.1774,0.5566,0.2751,6.2965,4.7761,-4.2469,42.023,221.3417,R,U,U,NC63EDQVMU,M6AGY,h
20.8382,10.2682,2.3404,0.621,0.3356,4.0453,-15.9238,-2.923,86.8812,222.986,R,U,T,YCPBQAV4N0,462OJ,h
17.0422,11.0571,2.2227,0.6108,0.3503,2.5232,-7.3054,-6.8686,11.4165,186.816,R,V,X,9QRUKXKZTR,REVMM,g
27.6315,10.7508,2.4464,0.4759,0.2773,-2.3165,-21.8862,-4.7659,34.121,134.02,S,V,V,JU28TW4BVX,L4LER,g
52.8342,31.0263,2.7818,0.4066,0.2653,36.8687,12.1768,20.1761,1.1826,377.361,U,R,Z,ZC1LFH943E,YD7E6,g
126.076,74.85,3.3144,0.1081,0.0555,-204.615,85.0657,-53.336000000000006,16.1181,286.704,Z,Z,W,EFHMNR25AE,OSO7A,h
17.7474,10.5396,2.4487,0.6975,0.4324,-7.9782,15.0448,-7.3518,21.915,114.096,Q,W,W,N30RW79EKM,FO82L,h
21.2181,6.6886,2.2343,0.7522,0.4636,20.5985,15.3193,-6.2442,12.001,128.952,Q,S,X,MK7TON6412,WNQNN,g
66.0346,11.7658,2.6212,0.3804,0.2117,70.6669,63.5139,10.5566,2.0758,201.544,U,Q,Z,VG9I41VQUP,WR1MM,g
35.6588,23.4655,3.1214,0.2707,0.1471,7.5011,16.7297,16.8961,82.3558,50.4624,W,U,T,300NOYOLRF,T8AF3,g
22.0271,12.3372,2.5472,0.5645,0.2879,20.555,10.3097,-7.1018,7.382999999999999,138.696,R,S,X,CS58D3XX23,4WG19,g
